id,climate,energy,environment,resources,sustainability,dedicated
ab5743,0,0,0,0,0,0
ab57511,0,0,0,0,0,0
ab57512,0,0,0,0,0,0
ab5752,0,0,0,0,0,0
ab5753,0,0,0,0,0,0
ad2602,0,0,0,0,0,0
ad2604,0,0,0,0,0,0
ad2607,0,0,0,0,0,0
am1111,0,0,0,0,0,0
am1112,0,0,0,0,0,0
am1121,0,0,0,0,0,0
am1131,0,0,0,0,0,0
am1132,0,0,0,0,1,0
am1133,0,0,0,0,0,0
am1141,0,0,0,0,0,0
am1151,0,0,0,0,0,0
am1211,0,0,0,0,0,0
am1221,0,0,0,0,0,0
am1222,0,0,0,0,0,0
am1231,0,0,0,0,0,0
am12310,0,0,0,0,0,0
am1241,0,0,0,0,0,0
am1242,0,0,0,0,0,0
am1251,0,0,0,0,0,0
am1311,0,0,0,0,0,0
am1331,0,0,1,0,1,1
am1332,0,0,0,0,0,0
am1333,0,0,0,0,0,0
am1334,0,0,0,0,0,0
am1341,0,0,0,0,0,0
am1351,0,0,0,0,0,0
am1411,0,0,0,0,0,0
am1421,0,0,0,0,0,0
am1422,0,0,0,0,0,0
am1424,0,0,0,0,0,0
am1431,0,0,0,0,0,0
am1432,0,0,0,0,0,0
am1512,0,0,0,0,0,0
am1522,0,0,0,0,0,0
am1523,0,0,0,0,0,0
am1524,0,0,0,0,0,0
am1531,0,0,0,0,0,0
am1551,0,0,0,0,0,0
am1602,0,0,0,0,0,0
am1605,0,0,1,0,0,0
am1606,0,0,0,0,0,0
am1702,0,0,0,0,0,0
am17021,0,0,0,0,0,0
am1704,0,0,0,0,0,0
am1705,0,0,0,0,0,0
am1710,0,0,0,0,0,0
am2101,0,0,0,0,0,0
am2213,0,0,0,0,0,0
am2221,0,0,0,0,0,0
am2241,0,0,0,0,0,0
am2251,0,0,0,0,0,0
am2332,0,0,0,0,0,0
am2343,0,0,0,0,0,0
am2351,0,0,0,0,0,0
am2421,0,0,0,0,0,0
am2422,0,0,0,0,0,0
am2432,0,0,0,0,0,0
am2433,0,0,0,0,0,0
am2511,0,0,0,0,0,0
am2521,0,0,0,0,0,0
am2601,0,0,0,0,0,0
am2701,0,0,0,0,0,0
am2702,0,0,0,0,0,0
am3001,1,0,0,0,0,0
am3101,0,0,0,0,0,0
am31011,0,0,0,0,0,0
am3201,0,0,0,0,0,0
am6001,0,0,0,0,0,0
am6002,1,0,0,0,0,0
bd6010000,0,0,0,0,0,0
bd6011000,0,0,0,0,0,0
bd6012000,0,0,0,0,0,0
bd6013000,0,0,0,0,0,0
bd6014000,0,0,0,0,0,0
bd6015000,0,0,0,0,0,0
bd6016000,0,0,0,0,0,0
bd6017000,0,0,0,0,0,0
bd6018000,0,0,0,0,0,0
bd6019000,0,0,0,0,0,0
bd6020000,0,0,0,0,0,0
bd6021000,0,0,0,0,0,0
bd6022000,0,0,0,0,0,0
bd6023000,0,0,0,0,0,0
bd6024000,0,0,0,0,0,0
bm1011000,0,0,0,0,0,0
bm1012000,0,0,0,0,1,0
bm1021000,0,0,0,0,1,0
bm1022000,0,0,1,0,1,1
bm1031000,0,0,0,0,0,0
bm1032000,0,0,0,0,0,0
bm1033000,0,0,0,0,0,0
bm2011000,0,0,0,0,0,0
bm2012000,0,0,0,0,0,0
bm2013000,0,0,0,0,0,0
bm2021000,0,0,0,0,0,0
bm2022000,0,0,0,0,0,0
bm2023000,0,0,0,0,0,0
bm2031000,0,0,0,0,0,0
bm2032000,0,0,0,0,0,0
bm2033000,0,0,0,0,0,0
bm3011000,0,0,0,0,0,0
bm3012000,0,0,0,0,0,0
bm3021000,0,0,0,0,0,0
bm3022000,0,0,0,0,0,0
bm3031000,1,0,1,0,0,0
bm3032000,1,0,1,0,0,0
bm5031000,0,0,0,0,0,0
bm5041000,0,0,0,0,0,0
bm5042000,0,0,0,0,0,0
bm6011000,0,0,0,0,0,0
bm6012000,0,0,0,0,0,0
bm6013000,0,0,0,0,0,0
bm6014000,0,0,0,0,0,0
bm6015000,0,0,0,0,0,0
bm6016000,0,0,0,0,0,0
bm6017000,0,0,0,0,0,0
bm6018000,0,0,0,0,0,0
bm6019000,0,0,0,0,0,0
bm6020000,0,0,0,0,0,0
bm6021000,0,0,0,0,0,0
bm6022000,0,0,0,0,0,0
bm6023000,0,0,0,0,0,0
bm6024000,0,0,0,0,0,0
cb00001,0,0,0,0,0,0
cb00002,0,0,0,0,0,0
cb00003,0,0,0,0,0,0
cb00004,0,0,0,0,0,0
cb00005,0,0,0,0,0,0
cb00006,0,0,0,0,0,0
cb00007,0,0,0,0,0,0
cb00008,0,0,0,0,1,0
cb00009,0,0,0,0,0,0
cb00010,0,0,0,0,0,0
cb00011,0,0,0,0,0,0
cb00012,0,0,0,0,0,0
cb00013,0,0,0,0,0,0
cb00014,0,0,0,0,0,0
cb00015,0,0,0,0,0,0
cb00016,0,0,0,0,0,0
cb00017,0,0,0,0,0,0
cb00018,0,0,0,0,0,0
cb00019,0,0,0,0,0,0
cb00020,0,0,0,0,0,0
cb00021,0,0,0,0,0,0
cb00022,0,0,0,0,0,0
cb00023,0,0,0,0,0,0
cb00024,0,0,0,0,0,0
cb00025,0,0,0,0,0,0
cb00026,0,0,0,0,0,0
cb00027,1,0,0,0,0,0
cb00028,0,0,0,0,0,0
cb00029,0,0,0,0,0,0
cb00030,0,0,0,0,0,0
cb00031,0,0,0,0,0,0
cb00032,0,0,0,0,0,0
cb00033,0,0,0,0,0,0
cb00034,0,0,0,0,0,0
cb00035,0,0,0,0,0,0
cb00036,0,0,0,0,0,0
cb00037,0,0,0,0,0,0
cb00038,0,0,0,0,0,0
cb00039,0,0,0,0,0,0
cb00040,0,0,0,0,0,0
cb00041,0,0,0,0,0,0
cb00042,0,0,0,0,0,0
cb00043,0,0,0,0,0,0
cb00044,0,0,0,0,0,0
cb00045,0,0,0,0,0,0
cb00046,0,0,0,0,0,0
cb00047,0,0,0,0,0,0
cb00048,0,0,0,0,0,0
cb00049,0,0,0,0,0,0
cb00050,0,0,0,0,0,0
cb00051,0,0,0,0,0,0
cb00052,0,0,0,0,0,0
cb00053,0,0,0,0,0,0
cb00054,0,0,0,0,0,0
cb00055,0,0,0,0,0,0
cb00056,0,0,0,0,0,0
cb00057,0,0,0,0,0,0
cb00058,0,0,0,0,0,0
cb00059,0,0,0,0,0,0
cb00060,0,0,0,0,0,0
cb00061,0,0,0,0,0,0
cb00062,0,0,0,0,0,0
cb00063,0,0,0,0,0,0
cb00064,0,0,0,0,1,0
cb00065,0,0,0,0,0,0
cb00066,0,0,0,0,0,0
cb00067,0,0,0,0,0,0
cb00068,0,0,0,0,0,0
cb00069,0,0,0,0,0,0
cb00070,1,1,1,0,1,0
cb00071,0,0,0,0,0,0
cb00072,0,0,0,0,0,0
cb00073,0,0,0,0,0,0
cb00074,0,0,0,0,0,0
cb00075,0,0,0,0,0,0
cb00076,0,0,0,0,0,0
cb00077,0,0,0,0,0,0
cb00078,0,0,0,0,1,0
cb00079,0,0,0,0,0,0
cb00080,0,0,0,0,0,0
cb00081,0,0,0,0,0,0
cb00082,0,0,0,0,0,0
cb00083,0,0,0,0,0,0
cb00084,1,0,1,0,0,0
cb00085,0,0,0,0,0,0
cb00086,0,0,0,0,0,0
cb00087,0,0,0,0,0,0
cb00088,0,0,0,0,0,0
cb00089,0,0,0,0,0,0
cb00090,0,0,0,0,0,0
cb00091,0,0,0,0,0,0
cb00092,0,0,0,0,0,0
cb00093,0,0,0,0,0,0
cb00094,0,0,0,0,0,0
cb00095,0,0,0,0,0,0
cb00096,0,0,0,0,0,0
cb00097,0,0,0,0,0,0
cb00098,0,0,0,0,0,0
cb00099,0,0,0,0,1,0
cb00100,0,0,0,0,0,0
cb00101,1,0,0,0,0,0
cb00102,0,0,0,0,0,0
cb00103,0,0,0,0,0,0
cb00104,0,0,0,0,0,0
cb00105,0,0,0,0,0,0
cb00106,0,0,0,0,0,0
cb00107,0,0,0,0,0,0
cb00108,0,0,0,0,0,0
cb00109,0,0,0,0,0,0
cb00110,0,0,0,0,0,0
cb00111,0,0,0,0,0,0
cb00112,0,0,0,0,0,0
cb00113,0,0,0,0,0,0
cb00114,0,0,0,0,0,0
cb00115,0,1,0,0,0,0
cb00116,0,0,0,0,0,0
cb00117,0,0,0,0,0,0
cb00118,0,0,0,0,0,0
cb00119,0,0,0,0,0,0
cb00120,0,0,0,0,0,0
cb00121,0,0,0,0,0,0
cb00122,0,0,0,0,0,0
cb00123,0,0,0,0,1,0
cb00124,0,0,0,0,0,0
cb00125,0,0,0,0,0,0
cb00126,0,0,0,0,0,0
cb00127,0,0,0,0,0,0
cb00128,0,0,0,0,0,0
cb00129,0,0,0,0,0,0
cb00130,0,0,0,0,0,0
cb00131,0,0,0,0,0,0
cb00132,0,0,0,0,0,0
cb00133,0,0,0,0,0,0
cb00134,0,0,0,0,0,0
cb00135,0,0,0,0,0,0
cb00136,0,0,0,0,0,0
cb00137,0,0,0,0,0,0
cb00138,0,0,0,0,0,0
cb00139,0,0,0,0,0,0
cb00140,0,0,0,0,0,0
cb00141,0,0,0,0,0,0
cb00142,0,0,0,0,0,0
cb00143,0,0,0,0,0,0
cb00144,0,0,0,0,0,0
cb00145,0,0,0,0,0,0
cb00146,0,0,0,0,0,0
cb00147,0,0,0,0,0,0
cb00148,0,0,0,0,0,0
cb00149,0,0,0,0,0,0
cb00150,0,0,0,0,0,0
cb00151,0,0,0,0,0,0
cb00152,0,0,0,0,0,0
cb00153,0,0,0,0,0,0
cb00154,0,0,0,0,0,0
cb00155,0,0,0,0,0,0
cb00156,0,0,0,0,0,0
cb00157,0,0,0,0,0,0
cb00158,0,0,0,0,0,0
cb00159,0,0,0,0,0,0
cb00160,0,0,0,0,0,0
cb00161,0,0,0,0,0,0
cb11101,0,0,0,0,0,0
cb11102,0,0,0,0,0,0
cb11103,0,0,0,0,0,0
cb11104,0,0,0,0,0,0
cb11105,0,0,0,0,0,0
cb11106,0,1,0,0,0,1
cb11107,0,0,0,0,0,0
cb11108,1,0,1,0,1,0
cb11109,0,0,0,0,0,0
cb11110,1,0,1,1,1,0
cb11111,0,0,0,0,0,0
cb11112,1,0,0,0,0,0
cb11113,0,0,0,0,0,0
cb11114,0,0,0,0,0,0
cb11115,0,0,0,0,0,0
cb11116,0,0,0,0,0,0
cb11117,0,0,0,0,0,0
cb11118,0,0,0,0,0,0
cb11119,0,0,0,0,0,0
cb11120,0,0,0,0,0,0
cb11121,0,0,0,0,0,0
cb11122,0,0,0,0,0,0
cb11123,0,0,0,0,0,0
cb11124,0,0,0,0,0,0
cb11125,0,0,0,0,0,0
cb11126,0,0,0,0,0,0
cb11127,0,0,0,0,0,0
cb11128,0,0,0,0,0,0
cb11129,0,0,0,0,0,0
cb11130,0,0,0,0,0,0
cb11131,0,0,0,0,0,0
